plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
C1-14A,C1,C1-14,2018-06-13,0.032258065,0.709677419,Jack Pine,83,Xeric,Lichen,4.05,shield,2.557465309,62.731584,-115.648558
C1-17A,C1,C1-17,2018-06-10,0,0,Black Spruce,65,Mesic,Lichen,10.7,shield,3.798637778,62.728687,-115.69965
C1-19A,C1,C1-19,2018-06-13,0,0,Black Spruce,82,Hydric,Sphagnum,25.75,shield,2.870863984,62.690862,-115.470054
C1-19B,C1,C1-19,2018-06-13,0,0.65,Jack Pine,84,Xeric,Lichen,5.1,shield,2.092274485,62.691898,-115.469811
C1-21A,C1,C1-21,2018-06-14,0.023529412,0,Black Spruce,79,Hydric,Colonizers,27.95,shield,12.76449719,62.727336,-115.629471
C1-21B,C1,C1-21,2018-06-14,0.05,0.575,Jack Pine,87,Xeric,Lichen,5.25,shield,3.080881558,62.726469,-115.632376
C1-32A,C1,C1-32,2018-06-12,0.931034483,0.034482759,Deciduous,77,Xeric,Lichen,6.6,shield,2.047825975,62.660851,-115.347666
C1-32B,C1,C1-32,2018-06-12,0,0.6,Jack Pine,89,Xeric,Lichen,7.1,shield,3.8830125,62.660989,-115.350219
C1-32C,C1,C1-32,2018-06-12,0.0625,0.010416667,Black Spruce,79,Hydric,Pleurocarpous,13.75,shield,6.290473471,62.662726,-115.347985
C1-8A,C1,C1-8,2018-06-15,0,0,Mixed,68,Xeric,Lichen,11.75,shield,10.77118818,62.706916,-115.603876
C1-8B,C1,C1-8,2018-06-15,0,0.020408163,Black Spruce,81,Hydric,Sphagnum,25.05,shield,3.218701194,62.708606,-115.600581
C1-8C,C1,C1-8,2018-06-15,0,0.888888889,Jack Pine,85,Xeric,Lichen,2.9,shield,0.440947169,62.710002,-115.600861
C2-11A,C2,C2-11,2018-06-11,0.328767123,0.335616438,Mixed,85,Xeric,Lichen,4.5,shield,3.157975456,62.460224,-114.543084
C2-11B,C2,C2-11,2018-06-14,0.055793991,0.004291845,Mixed,82,Hydric,Pleurocarpous,18.25,shield,3.947419633,62.458804,-114.541818
C2-17A,C2,C2-17,2018-06-08,0,0.909090909,Jack Pine,71,Xeric,Lichen,3.3,shield,2.990917813,62.462836,-114.591784
C2-17B,C2,C2-17,2018-06-07,0.027027027,0.054054054,Black Spruce,72,Mesic,Pleurocarpous,10.65,shield,4.493566979,62.463317,-114.594367
C2-2A,C2,C2-2,2018-06-23,0.071428571,0,Black Spruce,71,Hydric,Lichen,22.15,shield,9.596990096,62.467739,-114.590179
C2-2B,C2,C2-2,2018-06-23,0,0.833333333,Jack Pine,83,Xeric,Lichen,4.65,shield,1.469018395,62.464602,-114.590133
C2-3A,C2,C2-3,2018-06-08,0.111111111,0.888888889,Jack Pine,81,Xeric,Lichen,2.75,shield,4.791575587,62.454493,-114.549338
C2-3B,C2,C2-3,2018-06-09,0.188405797,0,Black Spruce,78,Mesic,Acrocarpus,11.6,shield,8.340999615,62.455459,-114.54562
C3-3A,C3,C3-3,2018-08-23,0.194805195,0,Black Spruce,80,Xeric,Lichen,5,shield,3.489076743,63.111516,-113.778915
C3-3B,C3,C3-3,2018-08-23,0.125,0,Black Spruce,73,Hydric,Sphagnum,21.65,shield,4.880217096,63.112205,-113.776568
C4-5A,C4,C4-5,2018-08-02,0,0.580645161,Jack Pine,73,Xeric,Lichen,9.15,shield,1.67989932,63.213214,-114.040845
C4-5B,C4,C4-5,2018-08-02,0.1875,0,Black Spruce,57,Mesic,Sphagnum,18.35,shield,9.323790773,63.213793,-114.04327
